0	0	0	37	0	13	1	0	19	0	0	2	38	1	0	59	0	59	0	2	138	1	0	0	0	238	5	0	6	0	0	0	0	0	214	0	8	214	0	76	6	76	9	214	24	0	0	6	0	1	42	18	0	0	11	0	1	0	0	0	238	18	0	76	1	0	0	98	0	214	0	0	0	19	0	76	6	76	0	22	4	0	238	6	1	0	0	22	2	2	0	0	0	22	1	0	3	0	2	67	0	3	1	76	26	0	9	0	214	0	4	19	11	1	238	0	2	238	11	8	13	0	8	0	18	76	0	0	0	16	67	11	3	98	0	0	214	38	237	2	0	98	0	0	3	214	0	0	0	22	0	0	214	0	2	238	0	10	5	90	0	38	1	138	1	0	42	138	0	2	59	42	239	0	0	0	10	1	42	138	0	2	214	42	138	0	0	0	0	42	0	1	0	5	238	1	5	90	1	1	90	0	237	20	0	3	9	6	8	0	0	90	0	59	1	0	0	
0	0	0	79	2	45	0	0	55	2	0	5	52	0	0	189	0	189	0	5	391	0	8	0	0	506	4	0	7	0	0	0	0	0	278	0	0	278	0	193	8	193	0	278	13	0	0	1	0	1	46	23	0	5	17	2	0	0	0	0	506	27	0	193	1	0	0	174	0	278	0	0	3	55	0	193	8	193	0	82	3	1	506	5	0	0	0	70	2	0	2	3	0	82	0	0	1	0	0	132	1	1	9	193	61	0	17	1	278	0	3	55	17	0	506	0	12	506	25	18	57	5	11	0	27	193	0	0	0	10	132	25	2	174	8	1	278	52	548	11	0	174	0	0	0	278	1	1	0	70	0	0	278	1	3	506	1	3	1	210	1	52	5	391	0	0	46	391	0	5	189	46	362	0	0	0	3	0	46	391	0	5	278	46	391	0	0	1	0	46	0	1	1	1	506	0	1	210	3	1	210	0	548	2	0	8	33	1	15	0	0	210	1	189	0	0	0	
0	2	0	78	8	18	0	0	46	5	0	5	73	1	0	64	0	64	0	1	224	1	1	0	0	367	4	0	4	6	0	0	0	0	226	0	5	226	0	95	11	95	0	226	7	0	0	0	0	1	35	9	0	8	7	1	0	3	0	0	367	12	0	95	0	0	0	142	0	226	0	0	0	46	0	95	11	95	1	33	1	0	367	4	2	0	0	34	3	3	0	0	1	33	0	0	0	0	0	121	1	0	1	95	32	0	10	0	226	0	1	46	7	1	367	0	3	367	34	16	22	2	14	0	12	95	0	0	0	10	121	23	0	142	1	0	226	73	398	2	0	142	0	0	1	226	0	1	0	34	0	0	226	0	6	367	5	3	1	149	0	73	2	224	2	1	35	224	0	2	64	35	270	1	0	0	3	0	35	224	0	2	226	35	224	0	0	4	0	35	6	0	0	0	367	0	1	149	2	0	149	0	398	8	0	0	17	3	10	1	0	149	0	64	2	0	0	
1	114	0	2345	7	3154	0	0	873	4	0	706	2994	0	0	2549	0	2549	0	6	11513	0	0	0	0	7583	0	0	2	0	1	0	0	0	9328	0	0	9328	0	6848	490	6848	0	9328	0	0	0	188	0	131	2274	878	0	54	180	22	0	0	0	0	7583	136	0	6848	3	0	0	3205	0	9328	0	1	0	873	0	6848	490	6848	0	1807	0	2	7583	332	0	0	0	2685	18	2	0	0	0	1807	0	0	0	0	0	6100	3	0	14	6848	2712	10	615	0	9328	0	144	873	180	0	7583	0	360	7583	68	303	1520	161	1747	9	136	6848	0	0	0	518	6100	21	10	3205	0	3	9328	2994	18619	0	2	3205	0	0	0	9328	0	17	0	2685	0	0	9328	0	1	7583	0	0	13	7476	5	2994	32	11513	0	6	2274	11513	0	0	2549	2274	10735	0	0	0	0	0	2274	11513	0	0	9328	2274	11513	0	0	4	0	2274	0	0	5	0	7583	0	13	7476	346	3	7476	30	18619	57	0	672	1889	231	1321	0	0	7476	92	2549	11	0	0	
5	5	5	5	5	15	5	5	15	5	5	5	15	10	5	35	5	35	5	5	70	10	15	5	5	35	5	5	5	10	5	5	5	5	50	10	10	50	5	35	10	35	5	50	5	5	5	5	5	5	30	5	5	5	10	5	5	5	5	5	35	10	10	35	5	5	5	15	10	50	10	5	15	15	5	35	10	35	10	10	10	5	35	5	5	5	5	10	5	5	5	15	10	10	5	5	5	5	5	10	5	5	5	35	5	5	5	5	50	5	5	15	10	5	35	5	5	35	5	5	5	5	5	5	10	35	5	5	5	5	10	5	5	15	15	15	50	15	10	5	5	15	5	5	5	50	5	5	5	10	5	5	50	5	5	35	10	15	10	20	5	15	5	70	15	5	30	70	5	15	35	30	60	5	5	5	15	10	30	70	5	15	50	30	70	5	5	5	5	30	10	5	5	5	35	10	10	20	5	5	20	5	10	5	5	5	5	5	5	5	5	20	5	35	5	5	0	
0	2	0	97	1	42	1	0	80	2	0	1	50	0	0	129	0	129	0	2	298	0	0	0	0	363	4	0	11	0	0	0	0	0	332	0	2	332	0	161	5	161	1	332	8	0	0	0	0	2	48	22	0	4	15	0	3	0	0	0	363	23	0	161	2	0	0	194	0	332	0	0	0	80	0	161	5	161	0	34	2	0	363	10	2	0	0	63	0	3	1	0	0	34	0	0	2	0	0	128	1	0	6	161	39	0	16	0	332	0	8	80	15	0	363	0	13	363	47	13	33	2	12	0	23	161	0	0	0	16	128	23	0	194	0	0	332	50	408	9	0	194	0	0	1	332	0	2	0	63	0	2	332	0	5	363	0	10	1	141	1	50	4	298	1	0	48	298	0	3	129	48	380	0	0	0	10	1	48	298	0	3	332	48	298	0	1	5	0	48	0	0	1	2	363	1	1	141	2	0	141	0	408	2	0	1	33	3	21	0	0	141	0	129	0	0	0	
1	1	1	1	1	3	1	1	3	1	1	1	3	2	1	7	1	7	1	1	14	2	3	1	1	7	1	1	1	2	1	1	1	1	10	2	2	10	1	7	2	7	1	10	1	1	1	1	1	1	6	1	1	1	2	1	1	1	1	1	7	2	2	7	1	1	1	3	2	10	2	1	3	3	1	7	2	7	2	2	2	1	7	1	1	1	1	2	1	1	1	3	2	2	1	1	1	1	1	2	1	1	1	7	1	1	1	1	10	1	1	3	2	1	7	1	1	7	1	1	1	1	1	1	2	7	1	1	1	1	2	1	1	3	3	3	10	3	2	1	1	3	1	1	1	10	1	1	1	2	1	1	10	1	1	7	2	3	2	4	1	3	1	14	3	1	6	14	1	3	7	6	12	1	1	1	3	2	6	14	1	3	10	6	14	1	1	1	1	6	2	1	1	1	7	2	2	4	1	1	4	1	2	1	1	1	1	1	1	1	1	4	1	7	1	1	0	
0	0	0	8	0	5	0	0	15	3	0	1	13	8	0	48	0	48	0	3	90	8	0	0	0	116	3	0	4	0	0	0	0	0	129	27	32	129	6	35	1	35	1	129	0	0	0	0	0	0	14	4	0	0	5	1	0	4	0	0	116	16	1	35	2	0	0	47	18	129	27	15	16	15	0	35	1	35	5	26	1	1	116	2	0	0	0	15	0	2	1	16	5	26	3	0	0	0	0	30	0	0	4	35	5	0	3	0	129	0	0	15	5	3	116	0	5	116	8	6	14	0	2	0	16	35	0	0	0	2	30	9	1	47	0	0	129	13	108	2	0	47	0	0	3	129	0	0	0	15	0	0	129	0	0	116	9	1	0	41	1	13	0	90	1	0	14	90	0	0	48	14	142	46	0	2	1	1	14	90	3	0	129	14	90	0	0	2	0	14	0	0	0	1	116	1	0	41	0	0	41	0	108	6	0	1	6	2	2	0	0	41	0	48	0	0	0	
1	0	0	104	1	31	1	0	59	4	0	3	87	3	0	156	0	156	0	4	458	3	0	0	0	696	10	2	4	5	0	2	0	0	477	0	12	477	0	232	9	232	16	477	181	0	0	5	0	2	93	23	0	8	12	4	4	0	0	0	696	40	2	232	1	0	0	279	0	477	0	0	3	59	0	232	9	232	1	50	0	0	696	10	5	0	0	113	1	7	0	3	1	50	0	0	0	0	1	183	0	2	6	232	44	0	22	0	477	0	2	59	12	0	696	0	11	696	53	13	45	1	36	0	40	232	0	0	0	14	183	37	0	279	0	1	477	87	692	17	0	279	0	0	2	477	0	1	0	113	0	3	477	0	5	696	4	45	2	278	2	87	2	458	7	1	93	458	0	6	156	93	542	0	0	0	45	2	93	458	1	6	477	93	458	0	1	3	0	93	5	5	4	3	696	2	2	278	4	1	278	0	692	25	0	2	23	4	20	2	0	278	0	156	0	0	0	
0	126	1	2577	2	3036	0	0	946	0	0	657	2502	0	0	2502	0	2502	0	2	10958	0	0	0	0	6749	4	0	3	0	1	0	0	0	8467	0	0	8467	0	6691	480	6691	0	8467	0	0	0	171	0	132	2200	852	0	9	167	18	0	0	0	0	6749	136	0	6691	3	0	0	2812	0	8467	0	6	0	946	0	6691	480	6691	0	1872	0	3	6749	298	0	0	0	2537	4	0	1	0	0	1872	0	0	0	0	0	5854	3	0	8	6691	2180	9	624	0	8467	0	165	946	167	0	6749	0	443	6749	86	327	1505	155	1637	14	136	6691	0	0	0	514	5854	26	12	2812	0	4	8467	2502	16502	0	5	2812	0	0	0	8467	0	6	0	2537	0	0	8467	0	2	6749	0	0	7	7295	1	2502	24	10958	0	3	2200	10958	0	1	2502	2200	9805	0	0	0	0	0	2200	10958	0	1	8467	2200	10958	0	0	6	0	2200	0	0	3	0	6749	0	7	7295	312	5	7295	23	16502	40	0	611	2016	216	1212	0	0	7295	110	2502	18	0	0	
